id_venta,producto,precio,cantidad,fecha,cliente,region
1,Cable HDMI,$120,2,05/09/2025,juan,norte
2,cable hdmi,120,1,05/09/2025,JUAN,NORTE
3,Audifonos inalambricos,$250,,09/06/2025,maria,sur
4,CAMARA IP,980,1,06/09/2025,Ana,centro
5,Bocina Bluetooth,350,2,07/09/2025,jose,Norte
6,Cable HDMI,$120,2,05/09/2025,juan,NORTE
7,Adaptador USB,90,tres,06/09/2025,karla,sur
8,camara ip,$980,1,09/06/2025,ana,centro
9,Multimetro Digital,$450,1,09/05/2025,Luis,centro
10,Cable Auxiliar,80,2,06/09/2025,lucia,sur
1,Cable HDMI,$120,2,05/09/2025,juan,norte
2,cable hdmi,120,1,05/09/2025,JUAN,NORTE
3,Audifonos inalambricos,$250,,09/06/2025,maria,sur
4,CAMARA IP,980,1,06/09/2025,Ana,centro
5,Bocina Bluetooth,350,2,07/09/2025,jose,Norte
6,Cable HDMI,$120,2,05/09/2025,juan,NORTE
7,Adaptador USB,90,tres,06/09/2025,karla,sur
8,camara ip,$980,1,09/06/2025,ana,centro
9,Multimetro Digital,$450,1,09/05/2025,Luis,centro
10,Cable Auxiliar,80,2,06/09/2025,lucia,sur
1,Cable HDMI,$120,2,05/09/2025,juan,norte
2,cable hdmi,120,1,05/09/2025,JUAN,NORTE
3,Audifonos inalambricos,$250,,09/06/2025,maria,sur
4,CAMARA IP,980,1,06/09/2025,Ana,centro
5,Bocina Bluetooth,350,2,07/09/2025,jose,Norte
6,Cable HDMI,$120,2,05/09/2025,juan,NORTE
7,Adaptador USB,90,tres,06/09/2025,karla,sur
8,camara ip,$980,1,09/06/2025,ana,centro
9,Multimetro Digital,$450,1,09/05/2025,Luis,centro
10,Cable Auxiliar,80,2,06/09/2025,lucia,sur
1,Cable HDMI,$120,2,05/09/2025,juan,norte
2,cable hdmi,120,1,05/09/2025,JUAN,NORTE
3,Audifonos inalambricos,$250,,09/06/2025,maria,sur
4,CAMARA IP,980,1,06/09/2025,Ana,centro
5,Bocina Bluetooth,350,2,07/09/2025,jose,Norte
6,Cable HDMI,$120,2,05/09/2025,juan,NORTE
7,Adaptador USB,90,tres,06/09/2025,karla,sur
8,camara ip,$980,1,09/06/2025,ana,centro
9,Multimetro Digital,$450,1,09/05/2025,Luis,centro
10,Cable Auxiliar,80,2,06/09/2025,lucia,sur
11,pc,$40,3,07/09/2025,pepe,pedro
12,pc,$30,2,08/09/2025,pepe,pedrito2
12,pc,$30,2,08/09/2025,pepe,pedrito2
13,laptop,$500,1,08/09/2025,pepe3,pedrito4
13,laptop,$500,1,08/09/2025,pepe3,pedrito4
14,laptop,$500,1,09/09/2025,pepe1,carlos
14,laptop,$500,1,09/09/2025,pepe1,carlos
